m,k,b
6.85332,4.315374,1.3709021
10.468224,4.7379937,2.1983376
5.6587205,5.3855405,2.796342
7.795341,4.2334175,1.9592762
11.872276,3.0038154,1.8124593
9.739244,2.5868673,1.5568793
9.415804,4.6856527,1.8484138
10.991139,3.849032,1.1063612
11.408024,6.197217,1.9632071
5.9756722,3.5154366,1.6446105
9.830937,6.3655443,2.3779385
8.128816,5.411381,1.245033
7.9693856,6.40183,1.8909893
9.654536,4.4980173,1.8431216
10.427769,5.6855383,1.930313
5.6356387,5.2869453,1.2066826
9.865135,2.842484,1.4254332
9.756874,5.5141873,2.237552
6.0799685,4.0368977,1.7496511
12.49426,4.6147633,1.2453778
10.560327,6.066352,2.245117
10.936911,3.6779675,2.3807654
9.089153,3.9665575,1.1314211
10.347995,4.0715966,2.0454254
7.124139,3.6925268,1.4973758
9.303358,5.4475327,1.3180736
6.5895767,5.047754,1.2557465
10.433264,3.5395486,1.3035963
9.363331,4.909974,2.4717495
8.03884,4.192029,2.356822
9.997934,5.7406807,2.3704913
12.166591,5.310941,1.6510564
10.230872,3.9389596,2.4701986
9.04774,5.9392757,2.6632667
10.480223,6.6024494,1.3019745
11.805619,4.3040357,2.5771725
12.121579,5.436147,2.279904
11.591121,4.023592,1.3151782
10.05994,3.6388664,1.4863389
6.4330826,4.0694814,1.9668233
10.459212,4.1514425,1.3621299
13.162548,3.1476054,1.2645069
8.000739,5.179952,1.9138675
5.8070965,3.0718646,2.672923
11.278214,6.196029,1.7567477
10.235734,6.7270427,2.3209732
11.358328,6.9931464,2.3408117
7.652517,5.7863016,1.5261558
10.239286,3.2643225,2.0333285
11.190703,5.0927486,2.2592943
9.04486,5.532349,1.3494165
9.989564,6.0298276,2.209653
11.499604,3.2170458,1.7931526
9.15182,5.8469076,2.6680639
12.589836,4.016633,2.7386048
9.203026,6.0243053,2.5607426
12.802786,3.9919763,2.9059205
12.873842,5.440139,2.030443
10.635148,4.458471,2.6284127
14.551212,3.008562,2.1358542
10.063627,5.352012,1.9188031
11.430405,2.7556891,2.7807164
7.3088818,3.367999,1.2499135
14.876675,5.3950377,2.0927203
11.405788,5.8395967,2.4058254
10.161375,4.2601104,1.413511
8.80065,5.025341,2.365403
10.158265,6.5277014,1.6957835
9.411237,3.7576568,2.0369606
13.38842,5.1859713,2.152193
12.725282,3.7537894,1.7097849
9.156265,5.2198753,2.167618
11.200079,3.9218957,2.0610487
11.4538145,6.948224,2.0643249
10.865164,3.8172014,1.6319298
12.080538,4.383556,2.2221298
9.361067,2.684231,2.761893
9.132189,4.71514,2.2516744
7.2074,3.7575302,1.2514848
6.187737,5.764747,1.8703266
6.8301167,2.5721426,1.8637953
6.3414,6.1337905,2.82999
12.821615,3.3913684,2.8497689
9.249858,3.2310088,1.6423156
13.684978,4.7804227,2.3526108
9.065165,3.8522773,2.06229
9.960649,4.5551786,2.0855513
8.731067,5.3798437,1.7633574
11.653253,4.140035,1.2863257
9.874584,2.0195277,2.3884761
8.703104,5.6993575,1.4890652
10.410043,4.385388,2.4232879
14.484331,4.4656105,2.0719323
6.528192,4.5489383,2.0009422
10.467553,5.939165,2.409891
11.850682,5.463169,1.80972
9.164499,4.9388824,1.6875783
11.395353,2.5365465,1.954464
11.699479,5.007571,1.4548529
8.4084835,3.4255428,2.2430246
9.73344,4.684887,1.9179522
12.654038,3.9917562,1.1403502
9.267156,5.317648,2.2031019
12.0607,4.166492,1.2760893
10.351069,5.28051,2.4650254
12.848099,4.8841243,2.5968726
6.3050838,4.4351807,1.9110715
12.461941,4.166613,1.674335
11.757661,3.0766416,1.5233437
13.896141,4.467829,1.682739
13.062285,6.1005926,2.9295137
11.846368,3.9638968,2.1037393
10.173366,3.28783,2.6439495
14.281324,5.36371,1.8751581
13.959593,5.6725135,2.336687
8.446056,4.4137406,1.6298712
12.102319,2.1847131,2.2728791
5.362521,4.28606,1.7733228
9.457824,3.8688707,2.5742605
8.721179,6.4802976,2.6586556
11.470105,4.0945582,1.8701677
12.2875185,4.541993,1.1983966
11.043173,5.1902175,1.6965376
7.3440957,6.9654818,1.6389831
10.161719,4.7714634,1.902182
12.101284,3.1185765,1.6024826
8.86834,2.3118036,2.2751672
10.795502,5.805913,2.404587
9.33508,2.5695086,1.5734609
14.110456,3.2757127,1.9222896
6.8084297,6.906185,2.2303276
13.190219,4.92304,1.427399
10.364403,3.810684,1.8240852
9.294182,5.370602,1.6499516
11.047772,4.942953,2.1713207
7.2256875,5.3187857,1.8914528
8.710013,4.4075937,1.8303859
10.422346,3.2796197,2.4331765
6.9362264,3.6025152,1.4936237
7.6442184,2.4826188,1.671341
11.43688,4.5409546,1.078388
12.346417,5.605436,2.2406073
12.833906,3.6413264,1.9503937
8.681467,6.0070934,1.6439556
8.162781,2.762784,1.1871588
10.509563,3.6193137,2.2259958
9.886467,3.0146282,1.7971293
9.090803,4.3148227,1.8896581
10.77664,6.685955,2.5888474
7.564689,5.0353737,1.8467745
12.01554,3.9225655,1.3665683
10.186872,4.713212,1.4884404
12.07931,2.8108268,2.597469
7.3422823,6.3501353,2.1312509
12.445467,4.828153,2.0952497
10.5996065,4.346664,2.0689802
11.610338,4.6877193,1.1215589
5.1205983,4.0514226,2.3098843
5.315872,6.227637,2.1169894
11.28893,4.559148,2.5854692
6.9477334,6.239542,1.9993825
11.539937,5.181994,2.596622
8.987074,5.8322864,2.8092716
10.392165,3.9630814,1.8934526
6.391061,3.6333642,2.489815
13.845208,4.1468534,2.0676677
9.841962,6.533338,1.5879148
12.0039015,4.2013364,1.8795617
14.704742,2.9248974,2.2336898
8.2366705,2.1057105,1.7781858
10.003323,3.2597947,1.7391438
9.8085165,2.6812627,1.8051531
11.444758,5.8614135,1.9748014
11.7328205,3.8708885,2.2154014
8.909253,4.6306343,1.3904983
9.8573675,5.7630095,1.630505
12.638479,3.6329107,2.8398547
5.811235,5.6160555,1.9123062
9.639896,4.1618733,2.9389968
7.561104,4.219513,2.2474093
12.272145,4.8244853,1.5714672
6.278229,4.0602293,1.8362334
12.036633,3.322731,1.9935567
6.6272845,5.764567,2.5010052
6.3013983,4.665575,2.1637166
9.768715,5.194843,1.1985757
8.465661,3.4624934,1.1328614
9.672075,6.8028817,1.3501165
6.1360955,3.4341617,2.4859872
6.5550666,3.8903096,1.5513188
10.210421,4.622476,2.8977897
9.263554,5.0431204,2.8061776
12.553527,4.441126,1.921232
12.71599,2.079127,1.1328398
8.412855,6.5153146,1.8919877
11.154927,5.46051,2.175534
8.931774,3.8576734,2.0013597
10.8904915,5.7068996,2.0365777
8.757223,4.425545,1.5713784
5.212047,5.3051972,2.6330974
10.8547735,6.1311173,1.9464937
9.762967,2.5203521,2.6470091
10.979887,4.1689405,2.567164
10.959041,6.002033,1.4802779
12.856436,5.4371862,1.0249925
5.5973253,5.581708,2.7317884
8.088888,4.1837106,1.9954752
9.165507,6.461768,1.6707058
8.931801,3.5530608,2.2456868
8.806961,3.4520125,1.7925506
10.854656,5.119183,2.068747
12.42546,3.0670147,1.8011389
13.861499,6.2832847,2.4317374
10.0550995,2.442674,2.0181317
11.715714,6.0936847,2.3727982
10.093345,5.9206243,2.7945027
8.709594,4.8434677,1.6309752
9.019588,2.5314708,1.2160325
13.963513,4.2924023,2.7036333
10.551504,5.225165,1.5547667
11.9425535,5.954422,2.7719083
8.816249,6.398777,2.173429
10.343555,3.0674136,1.5021211
12.353538,3.4304671,1.500255
12.064355,5.4793587,2.948701
8.305981,2.6745744,1.9128103
11.946991,3.9972012,1.6087956
13.6993885,5.3143497,2.3058922
8.572504,3.670451,1.5788441
8.739597,3.969739,1.5715251
10.836613,4.5754857,1.1742655
9.61237,4.250776,1.8287565
9.885752,4.0546093,1.8804638
7.2102027,4.777058,2.6321032
9.005823,4.4283032,1.4226053
9.615953,4.778572,2.3486419
9.513777,5.163411,1.9541847
14.392885,3.360736,1.7822083
5.9749613,3.6570315,1.9148766
8.377645,5.071498,2.3583498
12.14168,6.729529,1.4416037
9.905921,3.273334,1.8578348
7.516632,3.3294082,1.8354632
9.786877,5.0091176,1.904371
11.76816,2.4440644,1.586124
8.667585,6.1683397,1.6113695
11.991519,6.0589294,1.856713
11.241595,4.033091,1.8463336
9.661387,3.9317882,1.5190877
12.217438,4.018819,2.090861
8.2503195,5.1535287,2.0915477
10.217114,6.6667128,2.0080838
9.270387,4.940033,2.1297925
10.30692,5.5282044,1.7988364
11.62847,3.2120624,2.6890643
11.90422,5.917507,2.2826786
8.657349,3.5401504,1.659259
9.243544,4.0125732,2.7887425
11.988325,3.5013955,2.253287
11.982709,2.2902899,1.3137138
10.836104,4.310158,1.5461868
